Date,Open,High,Low,Close,Adj Close,Volume
2019-12-06,288.579987,289.079987,286.410004,286.570007,285.935608,454600
2019-12-09,286.609985,288.640015,285.160004,286.369995,285.736053,759800
2019-12-10,287.049988,287.799988,283.399994,285.239990,284.608551,1144200
2019-12-11,285.260010,294.399994,285.260010,293.619995,292.970001,1162300
2019-12-12,292.950012,297.329987,292.609985,296.649994,296.649994,571100
2019-12-13,295.279999,298.329987,293.029999,294.929993,294.929993,450600
2019-12-16,295.010010,296.220001,291.790009,292.149994,292.149994,756400
2019-12-17,292.730011,292.730011,289.709991,291.750000,291.750000,1045500
2019-12-18,289.000000,291.040009,283.459991,284.320007,284.320007,1127800
2019-12-19,285.920013,293.549988,284.920013,292.000000,292.000000,1295700
2019-12-20,293.070007,293.070007,290.959991,292.000000,292.000000,571700
2019-12-23,292.420013,293.570007,288.029999,288.269989,288.269989,618700
2019-12-24,288.260010,290.690002,287.549988,289.640015,289.640015,265100
2019-12-26,290.309998,294.049988,288.850006,292.239990,292.239990,276100
2019-12-27,293.260010,294.209991,291.440002,292.309998,292.309998,455800
2019-12-30,292.410004,294.260010,290.679993,293.250000,293.250000,451600
2019-12-31,292.690002,295.970001,292.690002,293.779999,293.779999,519000
2020-01-02,293.790009,295.100006,292.130005,293.399994,293.399994,500000
2020-01-03,291.720001,295.260010,290.779999,294.670013,294.670013,490800
2020-01-06,294.000000,294.380005,291.779999,293.950012,293.950012,525400
2020-01-07,291.700012,293.250000,290.880005,291.850006,291.850006,501000
2020-01-08,291.190002,292.200012,288.880005,290.559998,290.559998,543000
2020-01-09,292.290009,293.660004,287.779999,288.899994,288.899994,994000
2020-01-10,290.779999,291.350006,287.100006,289.089996,289.089996,933400
2020-01-13,289.570007,290.709991,283.369995,284.000000,284.000000,726200
2020-01-14,284.029999,291.000000,284.029999,285.119995,285.119995,783800
2020-01-15,284.970001,292.579987,284.790009,288.570007,288.570007,619200
2020-01-16,289.309998,290.929993,286.950012,287.359985,287.359985,494800
2020-01-17,287.359985,288.869995,285.630005,286.470001,286.470001,475900
2020-01-21,286.459991,286.660004,282.339996,285.109985,285.109985,625300
2020-01-22,286.529999,288.820007,285.609985,285.910004,285.910004,456300
2020-01-23,285.489990,289.010010,284.500000,288.019989,288.019989,518600
2020-01-24,289.250000,289.250000,280.660004,285.100006,285.100006,479100
2020-01-27,282.079987,287.200012,281.220001,282.890015,282.890015,756300
2020-01-28,283.070007,287.119995,283.070007,284.179993,284.179993,328100
2020-01-29,285.100006,286.970001,282.070007,285.470001,285.470001,361500
2020-01-30,284.019989,284.950012,280.019989,282.399994,282.399994,645600
2020-01-31,282.950012,282.950012,276.859985,281.750000,281.750000,738300
2020-02-03,282.510010,282.950012,270.079987,270.750000,270.750000,926300
2020-02-04,272.649994,274.540009,271.649994,273.399994,273.399994,1057000
2020-02-05,275.000000,278.989990,274.160004,278.010010,278.010010,1080600
2020-02-06,278.369995,280.709991,275.350006,279.410004,279.410004,796200
2020-02-07,284.459991,284.459991,274.320007,275.510010,275.510010,1368200
2020-02-10,275.519989,276.950012,273.600006,274.850006,274.850006,684800
2020-02-11,275.000000,278.000000,273.589996,275.750000,275.750000,752400
2020-02-12,275.519989,282.970001,274.989990,281.029999,281.029999,891300
2020-02-13,279.369995,287.209991,279.369995,286.029999,286.029999,520700
2020-02-14,285.970001,293.149994,284.010010,291.600006,291.600006,780600
2020-02-18,293.239990,297.209991,291.869995,295.779999,295.779999,873800
2020-02-19,297.989990,301.769989,295.390015,297.100006,297.100006,1176000
2020-02-20,362.029999,381.859985,356.959991,373.160004,373.160004,5004600
